"M_id","M_name","C_in","C_in_name","C_out","C_out_name"
"M_1","sn-Glycerol 3-phosphate_Phosphatidate","C00093","sn-Glycerol 3-phosphate","C00416","Phosphatidate"
"M_2","Phosphatidate_Out","C00416","Phosphatidate","CC00000","OUT"
"M_3","Phosphatidylethanolamine_Out","C00350","Phosphatidylethanolamine","CC00000","OUT"
"M_4","Phosphatidylethanolamine_sn-Glycerol 3-phosphate","C00350","Phosphatidylethanolamine","C00093","sn-Glycerol 3-phosphate"
"M_5","IN_Phosphatidylethanolamine","CC00001","IN","C00350","Phosphatidylethanolamine"
"M_6","1,2-Diacyl-sn-glycerol_Phosphatidylethanolamine","C00641","1,2-Diacyl-sn-glycerol","C00350","Phosphatidylethanolamine"
"M_7","Phosphatidate_1,2-Diacyl-sn-glycerol","C00416","Phosphatidate","C00641","1,2-Diacyl-sn-glycerol"
"M_8","1,2-Diacyl-sn-glycerol_Phosphatidate","C00641","1,2-Diacyl-sn-glycerol","C00416","Phosphatidate"
"M_9","Phosphatidylethanolamine_Phosphatidylcholine","C00350","Phosphatidylethanolamine","C00157","Phosphatidylcholine"
"M_10","Phosphatidylcholine_Phosphatidate","C00157","Phosphatidylcholine","C00416","Phosphatidate"
"M_11","Phosphatidylcholine_Phosphatidylethanolamine","C00157","Phosphatidylcholine","C00350","Phosphatidylethanolamine"
"M_12","1,2-Diacyl-sn-glycerol+Choline_Phosphatidylcholine","C00641+C00114","1,2-Diacyl-sn-glycerol+Choline","C00157","Phosphatidylcholine"
"M_13","Phosphatidylcholine_Choline+sn-Glycerol 3-phosphate","C00157","Phosphatidylcholine","C00114+C00093","Choline+sn-Glycerol 3-phosphate"
"M_14","Choline_Acetylcholine","C00114","Choline","C01996","Acetylcholine"
"M_15","Acetylcholine_Choline","C01996","Acetylcholine","C00114","Choline"
