"M_id","M_name","C_in","C_in_name","C_out","C_out_name","SM_id"
"M_1","Ferric_iron_reduction_ecm","Fe3_ecm","CC000001","Fe2_ecm","F000001","1"
"M_2","Ferrous_iron_transport_into_cell","Fe2_ecm","F000001","Fe2_cyto","F000002","1"
"M_3","Ferric_iron_transport_into_cell","Fe3_ecm","CC000001","Fe3_lyso","F000003","1"
"M_4","Ferric_iron_endosome_reduction","Fe3_lyso","F000003","Fe2_cyto","F000002","1"
"M_5","Heme_transport_in_cell","Heme_ecm","CC000002","Heme_phago","F000004","1"
"M_6","Heme_cytosol_reduction","Heme_phago","F000004","Fe2_cyto","F000002","1"
"M_7","Ferrous_iron_ferritin_synthesis","Fe2_cyto","F000002","Ferritin","CC000003","1"
"M_8","Ferrous_iron_export","Fe2_cyto","F000002","Fe2_out","CC000004","1"
"M_9","Ferrous_iron_transport_into_mitochondria","Fe2_cyto","F000002","Fe2_mito","F000005","1"
"M_10","Heme_biosynthesis","Fe2_mito","F000005","Heme_mito","F000006","1"
"M_11","Heme_export","Heme_mito","F000006","Heme_out","CC000004","1"
"M_12","Iron_sulfur_synthesis","Fe2_mito","F000005","Fe_sulf","CC000005","1"
"M_13","Fenton_Reaction","Fe2_cyto+ROS","F000002+CC000006","OH+Fe3_cyto","F000007+F000008","1"
"M_14","OH_damage","OH","F000007","Damage","CC000007","1"
"M_15","Ferric_iron_ferritin_synthesis","Fe3_cyto","F000008","Ferritin","CC000003","1"
